,auc,prec,rec,fscore,gmean
3,0.819,0.8333333333333334,0.7668711656441718,0.7987220447284344,0.7904795929188666
5,0.819,0.9622641509433962,0.9503105590062112,0.95625,0.9529294486799591
7,0.819,1.0,1.0,1.0,1.0
9,0.819,1.0,1.0,1.0,1.0
11,0.819,1.0,1.0,1.0,1.0
13,0.819,1.0,1.0,1.0,1.0
15,0.819,1.0,1.0,1.0,1.0
17,0.819,1.0,1.0,1.0,1.0
19,0.819,1.0,1.0,1.0,1.0
21,0.819,1.0,1.0,1.0,1.0
