,auc,prec,rec,fscore,gmean
3,0.819,0.79375,0.7791411042944786,0.7863777089783281,0.7672577076259214
5,0.819,0.967948717948718,0.937888198757764,0.9526813880126183,0.9503428848598661
7,0.819,1.0,1.0,1.0,1.0
9,0.819,1.0,1.0,1.0,1.0
11,0.819,1.0,1.0,1.0,1.0
13,0.819,1.0,1.0,1.0,1.0
15,0.819,1.0,1.0,1.0,1.0
17,0.819,1.0,1.0,1.0,1.0
19,0.819,1.0,1.0,1.0,1.0
21,0.819,1.0,1.0,1.0,1.0
