,auc,prec,rec,fscore,gmean
3,0.819,0.783625730994152,0.8220858895705522,0.8023952095808383,0.772511139451815
5,0.819,0.9567901234567902,0.9627329192546584,0.9597523219814242,0.9554127037843725
7,0.819,1.0,1.0,1.0,1.0
9,0.819,1.0,1.0,1.0,1.0
11,0.819,1.0,1.0,1.0,1.0
13,0.819,1.0,1.0,1.0,1.0
15,0.819,1.0,1.0,1.0,1.0
17,0.819,1.0,1.0,1.0,1.0
19,0.819,1.0,1.0,1.0,1.0
21,0.819,1.0,1.0,1.0,1.0
